江苏中联物流有限公司,321300000018589,江苏省宿迁市经济开发区南环西路268号,4000万元人民币
江苏金鑫建材有限公司,321300000020037,江苏省宿城经济开发区（西区）古城路8号,3000万元人民币
江苏洋口港投资开发有限公司,320600400011605,江苏省如东县长沙镇洋口港临港工业区,20000万美元
衡阳衡拖农机制造有限公司,430400000030800,市雁峰区白沙洲联盟山108号,5000.0万人民币
江苏花王园艺股份有限公司,321181000046029,丹阳市南二环路99号,10000万元人民币
河南裕华新材料股份有限公司,410822100000450,博爱泗沟工业区,"22,323.5294万人民币元"
徐州申鑫建材市场管理有限公司,320323000054185,徐州市铜山区北京南路519号,14000万元人民币
枣庄南郊热电有限公司,370400018013257,枣庄经济开发区长江路26号,6000万元人民币
云南三七科技有限公司,530000000010908,云南省昆明市高新区科高路2188号,30000.0万人民币
,,,
深圳市佳捷现代物流有限公司,440301104521373,深圳市南山区蛇口兴工路美年广场2栋301,6536万元人民币
江苏叠石桥投资有限公司,320684000001065,海门市三星镇镇南村,5000万元人民币
北京天路通科技有限责任公司,110106003060033,北京市丰台区科技园区3A地块(园区),5116万元
山东恒通膨胀节制造有限公司,370902228004644,山东省泰安市南上高村,8000万元人民币
山东钛宝钛业有限公司,370903200002604,泰安大汶口石膏工业园,2000万元人民币
包头市祥顺达工贸有限责任公司,150200000000014,内蒙古自治区包头市昆区哈业胡同镇新光四村,2000万人民币元
重庆潜能燃气股份有限公司,500000000003574,重庆市铜梁区巴川镇中兴路185号,20000万元人民币
新疆大唐鼎旺水泥有限公司,652325030000182,新疆昌吉州奇台县三个庄子乡双涝坝村,6000 万
连云港神农现代农业发展有限公司,320700000121094,连云港市新浦区浦南镇农业园区综合服务楼202,16000万元人民币
南通市江海公路工程有限公司,320600000094353,南通市人民东路887号尚东国际商务中心4幢1110室,20000万元人民币
深圳市铭可达物流有限公司,440306105580993,深圳市龙华新区观澜街道君子布村19号铭可达物流园,16000万元人民币
云南云岭高速公路交通科技有限公司,530111000002966,云南省昆明市关上民航路493号,7000.0万
,,,
武冈市综合交通投资有限公司,430581000006924,武冈市陶侃路65号,4000.0万人民币
西安浐灞贸易有限责任公司,610100100132375,西安市浐灞生态区浐灞大道1号5A23室,10000.0万人民币元
西安市浐灞生态园林景观有限公司,610100100078012,西安市浐灞生态区浐灞大道1号浐灞商务中心5A11室,10000.0万人民币元
上海至纯洁净系统科技股份有限公司,310112000278119,上海市闵行区东川路555号丁1楼03A室,15600.0万人民币
大丰海港港口有限责任公司,320982000004829,盐城市大丰区大丰港区南港路北侧、配电区西侧,70000万元人民币
盐城市瀛洲宾馆有限公司,320902000013793,盐城市开放大道76号,9058万元人民币
上海江苏饭店有限公司,310107000044699,上海市普陀区武宁路888号,6500.0万人民币
,,,
镇江港和新型建材有限公司,321191000028595,镇江新区大路薛港村,14193.43万元人民币
镇江港源水务有限责任公司,321191000003601,镇江新区大港通港路1号,1000万元人民币
嘉兴市港区供水有限责任公司,330405000004293,嘉兴市乍浦镇雅山中路86号,8016.41万元人民币
嘉兴市港区污水处理有限责任公司,330405000009711,嘉兴市乍浦镇雅山中路86号,14600.1974万元人民币
深圳市深华运输实业有限公司,440301105100733,深圳市罗湖区上步北路银湖大厦四楼416－430号房,2000万元人民币
深圳市长途汽车客运有限公司,440301103202589,深圳市罗湖区清水河街道上步北路银湖大厦首层、二层206-222室,10000万元人民币
,,,
深圳市龙运发汽车服务有限公司,440307102726087,深圳市龙岗区龙岗镇深惠路868号,3800万元人民币
内蒙古恒达公路发展有限公司,152700000001433,内蒙古自治区鄂尔多斯市东胜区经济技术开发区松山路２号街坊,10800万人民币元
安吉七彩灵峰农业发展有限公司,330523000062964,安吉灵峰旅游度假区（原直升机场内）,31000万元人民币
美都经贸浙江有限公司,330000000023034,杭州市拱墅区美都广场A座1007、1009室,5000万元人民币
德清县恒达建设发展有限公司,330521000025485,武康镇永安街118号,50000万元人民币
余姚市交通投资有限公司,330281000054252,余姚市阳明西路66号五楼,18757万元人民币
,,,
德清县城市建设发展总公司,330521000024319,德清县武康镇东升街159号,20000万元人民币
奉化新城开发投资有限责任公司,330283000002906,奉化市汇明路98号,12000万元人民币
浙江太湖新城实业投资有限公司,330522000068284,长兴县太湖街道太湖大道599号,110000万元人民币
浙江余姚工业园区开发建设投资有限公司,330281000112497,浙江余姚工业园区迎霞北路88号,40000万元人民币
绍兴新锐传媒影视文化发展有限公司,330600000059650,绍兴市镜湖新区越发大厦第一幢1单位802号-1,1000万元人民币
湖州城西新农村建设投资有限公司,330508000040726,湖州市龙溪路208号101室,20000万元人民币
报喜鸟集团有限公司,330324000046785,浙江省永嘉县报喜鸟工业园,7780万元人民币
,,,
,,,
北京立高防水工程有限公司,110117001694503,北京市平谷区平谷镇岳各庄双河路2排10号,6697.0914万元人民币
杭州天马时控科技有限公司,330100000092477,杭州市江干区笕桥镇同心村七组,3348.819万元人民币
舟山市德勤物流有限公司,330902000023353,舟山市定海区干览西码头A房32号楼104室,5500万元人民币
浙江省基础建设投资集团股份有限公司,330000000015920,杭州市拱墅区密渡桥路1号A幢25楼2501室,30000万元人民币
沪光集团有限公司,330382000008225,乐清市柳市镇苏岙工业区,10000万元人民币
云鹏控股集团有限公司,331081100014195,温岭市松门镇金港路,10188万元人民币
大汉城镇建设有限公司,430100000093641,长沙市芙蓉区红旗路大汉建材城1栋,60000.0万人民币
牡丹江镜泊湖旅游集团有限公司,231000100085734,黑龙江省牡丹江市东安区景福街70号,"10,000万人民币"
福建泰龙电力股份有限公司,350200200006837,厦门市思明区曾厝垵379号一楼之二,15990.0万人民币
,,,
,,,
苍南联信小额贷款股份有限公司,330300000026504,苍南县灵溪镇玉苍路609号第三、四层,40000万元人民币
常州市西太湖旅游发展有限公司,320483000265750,江苏武进经济开发区腾龙路2号,20000万元人民币
绍兴县汇金小额贷款股份有限公司,330600000049017,绍兴县柯桥瓜渚旺角中心405-411室,40000万元人民币
德清升华小额贷款股份有限公司,330500000007600,浙江省德清县武康镇曲园北路92号,25000万元人民币
台州市椒江金丰小额贷款有限公司,331002000057681,台州市椒江区云西路321-325号,15000万元人民币
嘉禾县自来水有限责任公司,431024000008555,嘉禾县珠泉镇鳌峰路1号,3000.0万人民币
遵义市新区建筑安装有限公司,520300000035366,贵州省遵义市遵义市新蒲镇,2000万元人民币
中建投工程技术有限公司,410192000013162,郑州市金水区政七街4号,"27,106万元"
山东泉兴中联水泥有限公司,370400000003260,枣庄市高新区光源路77号,200000万元人民币
浙江网新联合工程有限公司,330000000052493,杭州市滨江区长河街道江汉路1785号网新双城大厦4幢701-1室,16666.6667万元人民币
乐清市宝乐能源实业有限公司,330382000020963,乐清市南塘镇外塘村,5000万元人民币
湖州金冶电子材料股份有限公司,330500000014826,湖州吴兴区八里店镇谈家扇村,10058万元人民币
浙江华金康工贸有限公司,330504000010131,湖州市菱湖镇竹墩工业园区,6000万元人民币
浙江省诸暨市龙翔纤维有限公司,330681000048777,诸暨市陶朱街道家纺园区,2000万元人民币
宁波华宁围海工程有限公司,330226000033054,宁海县跃龙街道兴宁中路63号,5000万元人民币
浙江百德纺织有限公司,330500400009737,浙江省德清县雷甸镇白云南路389号,440万美元
中国水产舟山海洋渔业公司,330900000005853,浙江省舟山市普陀区沈家门街道兴海路1号（普陀区平阳浦）,29100万元人民币
诸暨市水务集团有限公司,330681000102229,诸暨市暨阳街道丰民路19号,10000万元人民币
