公司名,城,注册号
汉柏科技有限公司,天津,120193000031586
海洋石油工程股份有限公司,天津,120000000001439
融创房地产集团有限公司,天津,120111000006866


东旭光电科技股份有限公司,河北,130000000001040
东旭集团有限公司,河北,130100000078969
保定天威保变电气股份有限公司,河北,130000000010000
冀东发展集团有限责任公司,河北,130200000035495
冀中能源股份有限公司,河北,130000000009735
北京中海北方港口工程有限公司,河北,130293000015109
北京正和恒基滨水生态环境治理股份有限公司,河北,130300000013610
华夏幸福基业控股股份公司,河北,131000000004580
华夏幸福基业股份有限公司,河北,131000000030087
唐山三友化工股份有限公司,河北,130000000009500
唐山冀东水泥股份有限公司,河北,130000000020886
唐山市通顺交通投资开发有限责任公司,河北,130200000135249
庞大汽贸集团股份有限公司,河北,130200000020075
开滦能源化工股份有限公司,河北,130000000022087
新兴铸管股份有限公司,河北,130000000000908
新天绿色能源股份有限公司,河北,130000000023637
河北建投能源投资股份有限公司,河北,130000000008429
河北海伟交通设施集团有限公司,河北,131127000005071
河北省新合作控股集团有限公司,河北,130000100002419
河北钢铁股份有限公司,河北,130000000022521
荣盛房地产发展股份有限公司,河北,130000000002350


临汾市热力供应有限公司,山西,141000000031826
太原煤气化股份有限公司,山西,140000100069593
山煤国际能源集团股份有限公司,山西,140000110108716
山西兰花科技创业股份有限公司,山西,140000100069163
山西国际电力集团有限公司,山西,140000100001584
山西太钢不锈钢股份有限公司,山西,140000100063394
山西煤炭进出口集团有限公司,山西,140000100004562
山西省经济建设投资集团有限公司,山西,140000100005928
山西西山煤电股份有限公司,山西,140000100074288
永泰能源股份有限公司,山西,140000110109740
盛和资源控股股份有限公司,山西,140000100064047
阳泉煤业（集团）股份有限公司,山西,140000100081723


伊金霍洛旗九泰热力有限责任公司,内蒙古,152728000009893
内蒙古亿利能源股份有限公司,内蒙古,150000000005071
内蒙古伊泰煤炭股份有限公司,内蒙古,150000400001093
内蒙古包钢钢联股份有限公司,内蒙古,150000000007124
内蒙古双欣能源化工有限公司,内蒙古,152704000000508
内蒙古奈伦农业科技股份有限公司,内蒙古,150000000001043
内蒙古奶联科技有限公司,内蒙古,150106000001141
内蒙古庆华集团阿拉善百灵煤炭有限责任公司,内蒙古,150000000007296
内蒙古庆华集团顺嘉商贸有限公司,内蒙古,152825000004426
内蒙古庆华集团额济纳庆华矿业科技有限责任公司,内蒙古,152923000006344
内蒙古恒达公路发展有限公司,内蒙古,152700000001433
内蒙古泰弘生态环境发展股份有限公司,内蒙古,150208000013386
内蒙古萌业粮油农副产品有限责任公司,内蒙古,152824000001072
内蒙古远兴能源股份有限公司,内蒙古,150000000000788
内蒙古鄂尔多斯资源股份有限公司,内蒙古,152700400000363
内蒙古阜丰生物科技有限公司,内蒙古,150000400000041
内蒙古额济纳旗庆华马克那林苏海特商贸有限责任公司,内蒙古,152900000006351
内蒙古高新控股有限公司,内蒙古,150208000011587
包头东宝生物技术股份有限公司,内蒙古,150000000001891
包头市城乡发展投资有限责任公司,内蒙古,150200000003053
包头市祥顺达工贸有限责任公司,内蒙古,150200000000014
包头市红卫日用化工有限公司,内蒙古,150200000000364
包钢综企（集团）共兴冶金粉末有限公司,内蒙古,150200000012486
呼和浩特春华水务开发集团有限责任公司,内蒙古,150100000009706
国美电器内蒙古有限公司,内蒙古,150112000003543
扎兰屯市扬旗山水利枢纽有限责任公司,内蒙古,152103000002830
鄂尔多斯市通惠供热燃气集团有限公司,内蒙古,152702000000398
锡林浩特市给排水有限责任公司,内蒙古,152502000009213
阿拉善盟岚岳煤炭有限责任公司,内蒙古,152900000000586


东北制药集团股份有限公司,辽宁,210100000035297
中铁铁龙集装箱物流股份有限公司,辽宁,210200000021699
丰汇租赁有限公司,辽宁,210000004927827
凌源钢铁股份有限公司,辽宁,211300004010748
北方华锦化学工业股份有限公司,辽宁,210000004920321
台安县供热有限责任公司,辽宁,210321006106761
国电电力发展股份有限公司,辽宁,210200000135843
大连万达商业地产股份有限公司,辽宁,210200000021891
大连东霖食品股份有限公司,辽宁,210200400016720
大连亿达发展有限公司,辽宁,210200400038778
大连弘佳物流有限公司,辽宁,210242000012097
大连星海湾金融商务区投资管理股份有限公司,辽宁,210200000161476
大连普湾工程项目管理有限公司,辽宁,210246000003572
大连棒棰岛海产股份有限公司,辽宁,210200000044058
大连港股份有限公司,辽宁,210200400039287
大连港集团有限公司,辽宁,210200000152848
大连黄海港务有限公司,辽宁,210283000040777
本钢板材股份有限公司,辽宁,210000004931633
沈阳金河混凝土有限公司,辽宁,210100000046907
海城市西柳物流服务有限公司,辽宁,210381009148172
海航投资集团股份有限公司,辽宁,210200000261664
荣信电力电子股份有限公司,辽宁,210000004920217
营口天瑞水泥有限公司,辽宁,210800004045871
营口市老边区供热有限公司,辽宁,210800004144698
营口沿海产业物流基地有限公司,辽宁,210800004029880
营口沿海供热有限公司,辽宁,210800004136001
营口港务股份有限公司,辽宁,210000004925657
银基烯碳新材料股份有限公司,辽宁,210100000021782
锦州北山建筑工程有限责任公司,辽宁,210700004061473
锦州宝地装饰工程有限公司,辽宁,210700004082420
鞍山市鸿成实业有限公司,辽宁,210381009145901


中油金鸿能源投资股份有限公司,吉林,220000000098225
吉林利源精制股份有限公司,吉林,220000400007827
吉林华微电子股份有限公司,吉林,220200000001250
吉林市新北投资有限公司,吉林,220214000015448
吉林省松花湖生态示范园开发有限公司,吉林,220211000003511
吉林粮食集团收储经销有限公司,吉林,220108010000974
吉林高速公路股份有限公司,吉林,220000000149648
长春欧亚集团股份有限公司,吉林,220101010007558


七台河宝泰隆煤化工股份有限公司,黑龙江,230900100015008
亿阳集团股份有限公司,黑龙江,230199100002865
哈尔滨好民居建设投资发展有限公司,黑龙江,230100100036879
哈尔滨投资集团有限责任公司,黑龙江,230199100039345
哈尔滨电气股份有限公司,黑龙江,230100100004252
宝清县同利建筑工程有限责任公司,黑龙江,230523100004799
新华联不动产股份有限公司,黑龙江,230000100005468
牡丹江镜泊湖旅游集团有限公司,黑龙江,231000100085734


上海万业企业股份有限公司,上海,310000000007622
上海三航奔腾建设工程有限公司,上海,310113000001467
上海世茂建设有限公司,上海,310115400076820
上海中河金属股份有限公司,上海,310226000490536
上海交运集团股份有限公司,上海,310000000023877
上海同捷科技股份有限公司,上海,310115400063464
上海嘉宝实业（集团）股份有限公司,上海,310000000031246
上海嘉麟杰纺织品股份有限公司,上海,310000400256554
上海国有资产经营有限公司,上海,310000000072316
上海国际港务（集团）股份有限公司,上海,310000400003970
