贵州,20.75%
河南,66.45%
山东,23.43%
四川,3.82%
江苏,2.34%
青海,51.56%
新疆,6.80%
福建,31.31%
浙江,91.19%
湖北,49.45%
天津,24.79%
江西,0.00%
西藏,51.96%
黑龙江,63.65%
广东,11.89%
云南,39.44%
北京,2.43%
广西,37.01%
陕西,6.99%
甘肃,15.61%
河北,19.67%
吉林,42.34%
重庆,33.02%
宁夏,13.01%
湖南,54.85%
安徽,56.35%
内蒙古,31.30%
上海,10.11%
山西,42.61%
海南,47.75%
辽宁,60.98%
